,AAPL,capital_used,ending_cash,ending_value,long_mavg,orders,period_close,period_open,pnl,portfolio_value,positions,returns,short_mavg,starting_cash,starting_value,transactions
2002-01-02 21:00:00,,0.0,100000.0,0.0,,[],2002-01-02 21:00:00+00:00,2002-01-02 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-01-03 21:00:00,,0.0,100000.0,0.0,,[],2002-01-03 21:00:00+00:00,2002-01-03 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-01-04 21:00:00,,0.0,100000.0,0.0,,[],2002-01-04 21:00:00+00:00,2002-01-04 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-01-07 21:00:00,,0.0,100000.0,0.0,,[],2002-01-07 21:00:00+00:00,2002-01-07 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-01-08 21:00:00,,0.0,100000.0,0.0,,[],2002-01-08 21:00:00+00:00,2002-01-08 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-01-09 21:00:00,,0.0,100000.0,0.0,,[],2002-01-09 21:00:00+00:00,2002-01-09 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-01-10 21:00:00,,0.0,100000.0,0.0,,[],2002-01-10 21:00:00+00:00,2002-01-10 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-01-11 21:00:00,,0.0,100000.0,0.0,,[],2002-01-11 21:00:00+00:00,2002-01-11 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-01-14 21:00:00,,0.0,100000.0,0.0,,[],2002-01-14 21:00:00+00:00,2002-01-14 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-01-15 21:00:00,,0.0,100000.0,0.0,,[],2002-01-15 21:00:00+00:00,2002-01-15 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-01-16 21:00:00,,0.0,100000.0,0.0,,[],2002-01-16 21:00:00+00:00,2002-01-16 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-01-17 21:00:00,,0.0,100000.0,0.0,,[],2002-01-17 21:00:00+00:00,2002-01-17 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-01-18 21:00:00,,0.0,100000.0,0.0,,[],2002-01-18 21:00:00+00:00,2002-01-18 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-01-22 21:00:00,,0.0,100000.0,0.0,,[],2002-01-22 21:00:00+00:00,2002-01-22 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-01-23 21:00:00,,0.0,100000.0,0.0,,[],2002-01-23 21:00:00+00:00,2002-01-23 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-01-24 21:00:00,,0.0,100000.0,0.0,,[],2002-01-24 21:00:00+00:00,2002-01-24 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-01-25 21:00:00,,0.0,100000.0,0.0,,[],2002-01-25 21:00:00+00:00,2002-01-25 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-01-28 21:00:00,,0.0,100000.0,0.0,,[],2002-01-28 21:00:00+00:00,2002-01-28 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-01-29 21:00:00,,0.0,100000.0,0.0,,[],2002-01-29 21:00:00+00:00,2002-01-29 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-01-30 21:00:00,,0.0,100000.0,0.0,,[],2002-01-30 21:00:00+00:00,2002-01-30 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-01-31 21:00:00,,0.0,100000.0,0.0,,[],2002-01-31 21:00:00+00:00,2002-01-31 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-02-01 21:00:00,,0.0,100000.0,0.0,,[],2002-02-01 21:00:00+00:00,2002-02-01 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-02-04 21:00:00,,0.0,100000.0,0.0,,[],2002-02-04 21:00:00+00:00,2002-02-04 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-02-05 21:00:00,,0.0,100000.0,0.0,,[],2002-02-05 21:00:00+00:00,2002-02-05 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-02-06 21:00:00,,0.0,100000.0,0.0,,[],2002-02-06 21:00:00+00:00,2002-02-06 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-02-07 21:00:00,,0.0,100000.0,0.0,,[],2002-02-07 21:00:00+00:00,2002-02-07 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-02-08 21:00:00,,0.0,100000.0,0.0,,[],2002-02-08 21:00:00+00:00,2002-02-08 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-02-11 21:00:00,,0.0,100000.0,0.0,,[],2002-02-11 21:00:00+00:00,2002-02-11 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-02-12 21:00:00,,0.0,100000.0,0.0,,[],2002-02-12 21:00:00+00:00,2002-02-12 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-02-13 21:00:00,,0.0,100000.0,0.0,,[],2002-02-13 21:00:00+00:00,2002-02-13 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-02-14 21:00:00,,0.0,100000.0,0.0,,[],2002-02-14 21:00:00+00:00,2002-02-14 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-02-15 21:00:00,,0.0,100000.0,0.0,,[],2002-02-15 21:00:00+00:00,2002-02-15 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-02-19 21:00:00,,0.0,100000.0,0.0,,[],2002-02-19 21:00:00+00:00,2002-02-19 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-02-20 21:00:00,,0.0,100000.0,0.0,,[],2002-02-20 21:00:00+00:00,2002-02-20 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-02-21 21:00:00,,0.0,100000.0,0.0,,[],2002-02-21 21:00:00+00:00,2002-02-21 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-02-22 21:00:00,,0.0,100000.0,0.0,,[],2002-02-22 21:00:00+00:00,2002-02-22 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-02-25 21:00:00,,0.0,100000.0,0.0,,[],2002-02-25 21:00:00+00:00,2002-02-25 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-02-26 21:00:00,,0.0,100000.0,0.0,,[],2002-02-26 21:00:00+00:00,2002-02-26 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-02-27 21:00:00,,0.0,100000.0,0.0,,[],2002-02-27 21:00:00+00:00,2002-02-27 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
2002-02-28 21:00:00,,0.0,100000.0,0.0,,[],2002-02-28 21:00:00+00:00,2002-02-28 14:31:00+00:00,0.0,100000.0,[],0.0,,100000.0,0.0,[]
