Date,Rate,High (est),Low (est)
2015-06-19,0.0070700000000001,0.0076000000000001,0.0065000000000002
2015-06-18,0.00142,1.1391,1.1138
2015-06-17,0.00018999999999991,0.0,0.0
2015-06-16,-0.00231,-1.141,-1.1133
2015-06-15,-0.0014699999999999,1.141,1.1133
2015-06-12,-0.00097000000000014,-1.1425,-1.1167
2015-06-11,0.00563,0.0051000000000001,0.0062
2015-06-10,0.0094400000000001,0.0094000000000001,0.0094000000000001
2015-06-09,-0.0034000000000001,1.128,1.1011
2015-06-08,-0.0062599999999999,0.0,0.0
2015-06-05,0.01169,-1.1261,-1.0989
2015-06-04,0.01347,0.0142,0.0128
2015-06-03,0.0031300000000001,1.1119,1.0861
2015-06-02,-0.00038000000000005,0.0,0.0
2015-06-01,0.0056,-1.1039,-1.0774
2015-05-29,0.00080999999999998,0.0017,-9.9999999999989e-05
2015-05-28,-0.0044,-0.0046999999999999,-0.0041
2015-05-27,-0.0051399999999999,-0.0059,-0.0044000000000002
2015-05-26,-0.00614,1.1128,1.086
2015-05-25,-0.00668,0.0,0.0
2015-05-22,-0.0036,-1.1289,-1.1027
2015-05-21,-0.01296,-0.0128,-0.0132
2015-05-20,-0.01278,1.1417,1.1159
2015-05-19,-0.00083000000000011,0.0,0.0
2015-05-18,0.0082500000000001,0.0,0.0
2015-05-15,0.00928,-1.1381,-1.1116
2015-05-14,0.0060499999999999,1.1381,1.1116
2015-05-13,0.0010400000000002,-1.1313,-1.1043
2015-05-12,-0.0072400000000001,1.1313,1.1043
2015-05-11,-0.0046999999999999,-1.1429,-1.1165
2015-05-08,0.0080899999999999,0.0087999999999999,0.0073000000000001
2015-05-07,0.00606,0.006,0.0062
2015-05-06,-0.0023899999999999,-0.0030999999999999,-0.0017
2015-05-05,-0.00035000000000007,1.1312,1.1047
2015-05-04,0.0071700000000001,-1.124,-1.0983
2015-05-01,0.01243,1.124,1.0983
2015-04-30,0.00878,-1.1032,-1.0767
2015-04-29,0.0029600000000001,1.1032,1.0767
2015-04-28,0.0043199999999999,0.0,0.0
2015-04-27,0.0080500000000001,0.0,0.0
2015-04-24,0.00118,-1.0853,-1.0615
2015-04-23,-0.00045000000000006,-0.0014000000000001,0.00040000000000018
2015-04-22,-0.00448,1.0867,1.0611
2015-04-21,0.00129,-1.0892,-1.0649
2015-04-20,0.0089000000000001,0.0085999999999999,0.0091999999999999
2015-04-17,0.00607,0.0065,0.0057
2015-04-16,0.0027599999999999,1.0741,1.05
2015-04-15,0.00038000000000005,-1.0712,-1.0467
2015-04-14,-0.0062,-0.0065000000000002,-0.0059
2015-04-13,-0.01204,-0.0122,-0.0118
2015-04-10,-0.00831,-0.0074999999999998,-0.0090999999999999
2015-04-09,-0.00725,1.0974,1.0735
2015-04-08,-0.0055099999999999,0.0,0.0
2015-04-07,0.0063799999999998,-1.1046,-1.0792
2015-04-06,0.01196,1.1046,1.0792
2015-04-03,0.0032299999999998,-1.0889,-1.0645
2015-04-02,-0.00346,-0.0044,-0.0024999999999999
2015-04-01,-0.0065,-0.0054000000000001,-0.0076000000000001
2015-03-31,-0.00509,-0.0055000000000001,-0.0045999999999999
2015-03-30,-0.0039799999999999,1.1042,1.0792
2015-03-27,0.00118,-1.1066,-1.0824
2015-03-26,0.0035099999999999,0.0036,0.0034000000000001
2015-03-25,0.0062500000000001,0.0051999999999999,0.0071999999999999
2015-03-24,0.0062,1.0978,1.0718
2015-03-23,0.00905,-1.0821,-1.057
2015-03-20,0.0078100000000001,1.0821,1.057
2015-03-19,0.00468,0.0,0.0
2015-03-18,0.0046499999999998,0.0,0.0
2015-03-17,-0.00065999999999988,0.0,0.0
2015-03-16,-0.0070000000000001,-1.0723,-1.0478
2015-03-13,-0.0085,-0.0084,-0.0085999999999999
2015-03-12,-0.01212,1.0807,1.0564
2015-03-11,-0.0045000000000002,-1.0976,-1.0727
2015-03-10,-0.0070299999999999,-0.0068000000000001,-0.0073000000000001
2015-03-09,-0.01616,1.1044,1.08
2015-03-06,-0.0071600000000001,-1.1283,-1.1027
2015-03-05,-0.0033400000000001,-0.0036999999999998,-0.0029999999999999
2015-03-04,-0.00054999999999983,1.132,1.1057
2015-03-03,-0.00464,-1.1373,-1.1108
2015-03-02,-0.0088700000000002,-0.0095000000000001,-0.0082
2015-02-27,-0.0015699999999998,1.1468,1.119
2015-02-26,0.00058999999999987,0.0,0.0
2015-02-25,-0.0023899999999999,0.0,0.0
2015-02-24,-0.0024200000000001,0.0,0.0
2015-02-23,-0.00080999999999998,-1.1534,-1.1257
2015-02-20,0.0010399999999999,0.0017,0.00049999999999994
2015-02-19,-0.00015999999999994,1.1517,1.1252
2015-02-18,-0.0010300000000001,0.0,0.0
2015-02-17,0.00224,-1.1503,-1.1246
2015-02-16,0.0041900000000001,0.0045000000000002,0.004
2015-02-13,0.00176,0.0015999999999998,0.0018
2015-02-12,-0.00076000000000009,-0.0012999999999999,-0.00019999999999998
2015-02-11,-0.00011000000000005,-0.00019999999999998,0.0
2015-02-10,-0.0021899999999999,-0.0016,-0.0027999999999999
2015-02-09,-0.00684,-0.0070000000000001,-0.0067000000000002
2015-02-06,-0.00090999999999997,1.1543,1.1285
2015-02-05,0.0064899999999999,0.0,0.0
2015-02-04,0.0048000000000001,-1.1447,-1.1173
2015-02-03,0.0018499999999999,1.1447,1.1173
2015-02-02,-0.00254,-1.145,-1.1184
2015-01-30,-0.00101,1.145,1.1184
2015-01-29,0.00604,-1.1394,-1.1139
2015-01-28,0.0050899999999998,1.1394,1.1139
2015-01-27,-0.01266,0.0,0.0
2015-01-26,-0.02185,0.0,0.0
2015-01-23,-0.0018200000000002,-1.1715,-1.1443
2015-01-22,-0.00061,1.1715,1.1443
2015-01-21,0.00039000000000011,0.0,0.0
2015-01-20,-0.0042,-1.1759,-1.1488
2015-01-19,-0.01174,-0.012,-0.0114
2015-01-16,-0.0051600000000001,-0.0042,-0.0061
2015-01-15,-0.0028699999999999,-0.0032000000000001,-0.0026000000000002
2015-01-14,-0.0018800000000001,-0.0017,-0.002
2015-01-13,0.0010500000000002,1.197,1.1709
2015-01-12,0.00022999999999995,0.0,0.0
2015-01-09,-0.0057700000000001,0.0,0.0
2015-01-08,-0.00498,-1.2065,-1.1804
2015-01-07,-0.0030700000000001,1.2065,1.1804
2015-01-06,-0.00725,-1.2186,-1.1889
2015-01-05,-0.0079499999999999,-0.0068000000000001,-0.0090999999999999
2015-01-02,-0.0030600000000001,-0.0027999999999999,-0.0034000000000001
2015-01-01,-0.00186,-0.0029000000000001,-0.00079999999999991
2014-12-31,-0.00173,1.2311,1.2022
2014-12-30,-0.00031999999999988,0.0,0.0
2014-12-29,-0.00053000000000014,0.0,0.0
2014-12-26,-0.00058999999999987,0.0,0.0
2014-12-25,-0.0028600000000001,0.0,0.0
2014-12-24,-0.0013300000000001,0.0,0.0
2014-12-23,-0.0022899999999999,0.0,0.0
2014-12-22,-0.01078,-1.2511,-1.223
2014-12-19,-0.01005,1.2511,1.223
2014-12-18,0.00034000000000001,-1.2615,-1.2321
2014-12-17,0.0016400000000001,1.2615,1.2321
2014-12-16,-2.9999999999974e-05,-1.2597,-1.2306
2014-12-15,0.00326,1.2597,1.2306
2014-12-12,0.0040499999999999,-1.2517,-1.224
2014-12-11,0.00515,0.0048000000000001,0.0055000000000001
2014-12-10,0.0021599999999999,1.2469,1.2185
2014-12-09,0.0,-1.2453,-1.2158
2014-12-08,-0.0036399999999999,-0.0039,-0.0034000000000001
2014-12-05,-0.0039899999999999,-0.0043,-0.0037
2014-12-04,-0.00661,1.2535,1.2229
2014-12-03,-0.0010400000000002,-1.2604,-1.2313
2014-12-02,-0.00079999999999991,-0.0012000000000001,-0.00039999999999996
2014-12-01,-0.0022,-0.002,-0.0024
2014-11-28,0.00223,1.2636,1.2341
2014-11-27,0.0037400000000001,-1.2576,-1.2281
2014-11-26,0.0028699999999999,1.2576,1.2281
2014-11-25,-0.00482,-1.2586,-1.231
2014-11-24,-0.00908,1.2586,1.231
2014-11-21,0.0017,-1.2672,-1.2372
2014-11-20,0.00214,0.0022000000000002,0.0021
